#separator:tab
#html:true
#deck:Mates - ratos muertos
#notetype:Basic
#tags column:3
Niega: \(\forall x\in\mathbb R,\; x^2\ge 0\).	<b>Respuesta</b><br>\(\exists x\in\mathbb R\) tal que \(x^2&lt;0\).<hr><b>Idea clave</b><br>Al negar un cuantificador universal pasa a existencial, y se niega el predicado.	uv::34148_matematica_basica tema::logica nivel::1 tiempo::30s
Niega: \(\exists x\,\forall y\, P(x,y)\).	<b>Respuesta</b><br>\(\forall x\,\exists y\,\neg P(x,y)\).<hr><b>Idea clave</b><br>Al negar, se invierten todos los cuantificadores y se niega el predicado final.	uv::34148_matematica_basica tema::logica nivel::2 tiempo::45s
Si \(P\) es falsa, ¿qué valor tiene necesariamente \(P\Rightarrow Q\)?	<b>Respuesta</b><br>Verdadera.<hr><b>Idea clave</b><br>Una implicación solo es falsa cuando el antecedente es verdadero y el consecuente falso.	uv::34148_matematica_basica tema::logica nivel::1 tiempo::20s
Escribe la contraposición de: “si \(n^2\) es par, entonces \(n\) es par”.	<b>Respuesta</b><br>Si \(n\) es impar, entonces \(n^2\) es impar.<hr><b>Idea clave</b><br>\(P\Rightarrow Q\) es equivalente a \(\neg Q\Rightarrow\neg P\).	uv::34148_matematica_basica tema::demostraciones nivel::1 tiempo::30s
Demuestra en una línea que la suma de dos enteros impares es par.	<b>Respuesta</b><br>Si \(a=2k+1\) y \(b=2m+1\), entonces \(a+b=2(k+m+1)\).<hr><b>Idea clave</b><br>Usa directamente la definición de impar.	uv::34148_matematica_basica tema::demostraciones nivel::1 tiempo::45s
Da un contraejemplo a: “si \(ab=0\), entonces \(a=b=0\)” en \(\mathbb R\).	<b>Respuesta</b><br>\(a=1,\;b=0\).<hr><b>Idea clave</b><br>Para refutar una afirmación universal basta un solo contraejemplo.	uv::34148_matematica_basica tema::demostraciones nivel::1 tiempo::30s
En la inducción de \(1+\cdots+n=\frac{n(n+1)}2\), ¿qué debes obtener al pasar de \(n\) a \(n+1\)?	<b>Respuesta</b><br>\(\frac{n(n+1)}2+(n+1)=\frac{(n+1)(n+2)}2\).<hr><b>Idea clave</b><br>En el paso inductivo se usa la hipótesis para la suma hasta \(n\) y se añade el siguiente término.	uv::34148_matematica_basica tema::induccion nivel::2 tiempo::60s
En la prueba clásica de que \(\sqrt2\) es irracional, supones \(\sqrt2=p/q\) irreducible. De \(p^2=2q^2\), ¿qué concluyes primero?	<b>Respuesta</b><br>Que \(p\) es par.<hr><b>Idea clave</b><br>Si un cuadrado es par, su base también es par; esto lleva después a contradicción con que \(p/q\) sea irreducible.	uv::34148_matematica_basica tema::demostraciones nivel::2 tiempo::60s
Simplifica la negación: \(\neg(P\land Q)\).	<b>Respuesta</b><br>\(\neg P\lor\neg Q\).<hr><b>Idea clave</b><br>Ley de De Morgan.	uv::34148_matematica_basica tema::logica nivel::1 tiempo::30s
Simplifica la negación: \(\neg(P\lor Q)\).	<b>Respuesta</b><br>\(\neg P\land\neg Q\).<hr><b>Idea clave</b><br>Ley de De Morgan.	uv::34148_matematica_basica tema::logica nivel::1 tiempo::30s
Escribe formalmente que \(f:X\to Y\) es inyectiva.	<b>Respuesta</b><br>\(\forall x_1,x_2\in X,\; f(x_1)=f(x_2)\Rightarrow x_1=x_2\).<hr><b>Idea clave</b><br>Inyectiva significa que dos elementos distintos no pueden tener la misma imagen.	uv::34148_matematica_basica tema::funciones nivel::1 tiempo::30s
Escribe formalmente que \(f:X\to Y\) es sobreyectiva.	<b>Respuesta</b><br>\(\forall y\in Y\;\exists x\in X\) tal que \(f(x)=y\).<hr><b>Idea clave</b><br>Todo elemento del codominio debe ser imagen de alguno del dominio.	uv::34148_matematica_basica tema::funciones nivel::1 tiempo::30s
Si \(A=\{1,2,3\}\) y \(B=\{2,3,4\}\), calcula \(A\cap B\) y \(A\cup B\).	<b>Respuesta</b><br>\(A\cap B=\{2,3\}\), \(A\cup B=\{1,2,3,4\}\).<hr><b>Idea clave</b><br>Intersección: elementos comunes. Unión: elementos que están en al menos uno.	uv::34148_matematica_basica tema::conjuntos nivel::1 tiempo::30s
Escribe \(\mathcal P(\{a,b\})\).	<b>Respuesta</b><br>\(\{\varnothing,\{a\},\{b\},\{a,b\}\}\).<hr><b>Idea clave</b><br>El conjunto potencia contiene todos los subconjuntos.	uv::34148_matematica_basica tema::conjuntos nivel::1 tiempo::30s
Si \(|A|=5\), ¿cuánto vale \(|\mathcal P(A)|\)?	<b>Respuesta</b><br>\(2^5=32\).<hr><b>Idea clave</b><br>Cada elemento tiene dos opciones: estar o no estar en un subconjunto.	uv::34148_matematica_basica tema::conjuntos nivel::1 tiempo::20s
Si \(|A|=3\) y \(|B|=4\), ¿cuánto vale \(|A\times B|\)?	<b>Respuesta</b><br>\(12\).<hr><b>Idea clave</b><br>En un producto cartesiano se multiplican las cardinalidades finitas.	uv::34148_matematica_basica tema::conjuntos nivel::1 tiempo::20s
Para \(f(x)=x^2\), calcula la imagen de \([-1,2]\).	<b>Respuesta</b><br>\([0,4]\).<hr><b>Idea clave</b><br>El mínimo es 0 y el máximo en ese intervalo es 4.	uv::34148_matematica_basica tema::funciones nivel::1 tiempo::40s
Para \(f(x)=x^2\), calcula \(f^{-1}([0,1])\).	<b>Respuesta</b><br>\([-1,1]\).<hr><b>Idea clave</b><br>La preimagen pide los \(x\) cuyo cuadrado está entre 0 y 1.	uv::34148_matematica_basica tema::funciones nivel::1 tiempo::40s
Si \(f(x)=2x+1\) y \(g(x)=x^2\), calcula \((g\circ f)(x)\).	<b>Respuesta</b><br>\((2x+1)^2\).<hr><b>Idea clave</b><br>En \(g\circ f\), primero se aplica \(f\) y luego \(g\).	uv::34148_matematica_basica tema::funciones nivel::1 tiempo::30s
Halla la inversa de \(f(x)=3x-2\).	<b>Respuesta</b><br>\(f^{-1}(x)=\frac{x+2}{3}\).<hr><b>Idea clave</b><br>Intercambia entrada y salida y despeja.	uv::34148_matematica_basica tema::funciones nivel::1 tiempo::30s
¿La relación \(a\sim b\iff a\equiv b\pmod 3\) en \(\mathbb Z\) es de equivalencia?	<b>Respuesta</b><br>Sí.<hr><b>Idea clave</b><br>Es reflexiva, simétrica y transitiva.	uv::34148_matematica_basica tema::relaciones nivel::1 tiempo::30s
En \(\mathbb N_{&gt;0}\), ¿la divisibilidad \(a\mid b\) define un orden parcial?	<b>Respuesta</b><br>Sí.<hr><b>Idea clave</b><br>Es reflexiva, antisimétrica y transitiva.	uv::34148_matematica_basica tema::orden nivel::2 tiempo::30s
¿\(\mathbb Q\) es numerable o no numerable?	<b>Respuesta</b><br>Numerable.<hr><b>Idea clave</b><br>Aunque es denso en \(\mathbb R\), se puede enumerar.	uv::34148_matematica_basica tema::numerabilidad nivel::1 tiempo::20s
¿\(\mathbb Z\times\mathbb Z\) es numerable?	<b>Respuesta</b><br>Sí.<hr><b>Idea clave</b><br>El producto cartesiano de dos conjuntos numerables es numerable.	uv::34148_matematica_basica tema::numerabilidad nivel::2 tiempo::30s
